Sentence,Hyperbole,Metaphor
"But if youâ€™re feeling brave enough to weather the storm of Czech bureaucracy on your own, youâ€™ll have to start by going to your local trade license office (Å¾ivnostenskÃ½ odbor) and asking which kind of license is right for you.",1,1
"If they could ever make a gun pill , all pregnant women should take it so that they can conceive a self armed baby.",1,1
I might have to steal that idea and make some ornaments with it!,1,1
"â€œLet us die, since poverty is a dungeon guarded by suspicion, apathy, and contempt, and from which it is vain to try to escape; let us die, since there is no place for us at the banquet of the living!â€",1,1
"When you are defending the State from, say, invasion, or a select militia (aka private contractors, mercenaries employed by the government...see Katrina), you absolutely 'need' scary-looking ""offensive"" military-style etc etc firearms .",1,0
"Judi Lynn (83,347 posts) Venezuelaâ€™s revolutionary government has millions of fans despite deadly protests Venezuelaâ€™s revolutionary government has millions of fans despite deadly protests",1,1
"The government with money in their hands is like an alcoholic with a bottle of liquor in their hands, it's gone.",1,0
"REALLY?... To Piers Morgan, the answer is simple: pro-gun advocate and conservative radio show host Alex Jones was the best guest he ever had.",1,0
You guys and your gun control paranoia kill me.,1,1
But the Russian government is addicted to liquor taxes .,1,1
"And gun ownership leaves a bad taste in my mouth because too often I hear gun owners talk about having to use them in a tone of voice thatâ€™s far too gleeful (e.g., â€œJust let somebody try to break into my houseâ€ or â€œI wish someone would try to mug meâ€) when in fact they should never, everwant to have to use a gun on someone else, even a criminal.",1,1
"Gun control greases the wheels for tyranny, in the below example the tyranny of slavery and the idea that some humans are property.",1,1
The Tax Tsunami will batter small business.,1,1
"Legitimate elections are at the heart of our democracy, and democracy is the gateway to everything else.",1,1
hopefully the courts will strike down this DNC rape of the second amendment or you all will vote out the assholes who pass such disgusting laws,1,1
It means that gun control is snake oil .,1,1
"Confiscation is their end game, and the grand wizard of gun control , Crazy Joe Biden, is telling the sheep in each state what they need to pass.",1,1
"That poverty is a curse , the bitterest of curses, we all know.",1,1
"They absolutely despise the poor because in their warped, sick, far right wing minds, the poor are pariahs because they are failures and have nothing.",1,0
The falling crime rate and the gun ownership explosion seem to be unrelated.,1,1
The great lie of the 20th century is that tyranny dies when democracy rises .,1,1
"If the government does not fight poverty , poverty will be the victor at the next elections.",1,1
Apparently this is some sort of cautionary tale about what happens when the enormous pendulous breasts of mortgage lending are unrestrained by the brassiere of government regulation .,1,1
My idea of pursuing happiness does not include the leech of taxation and the loss of freedoms by regulation without representation.,1,1
"The truck's rear doors then burst open and rained wealth on Overtown, which is mostly black, mostly poor and was the scene of bitter riots in the 1980's.",1,1
"A large and larcenous bureaucracy has crippled schools, hospitals and other public services.",1,1
Guns cure everything.,1,1
Chicago: the great gun control lab .,1,1
The government is a business that does not work very well.,1,1
"â€œWe need a real economic plan that will allow employers to enlarge paychecks and expand payrolls with pro-growth economic policies such as repealing Obamacare, and stopping the onslaught of senseless red tape coming from unelected Washington bureaucrats, who are currently running wild under the Obama Administration.",1,1
The documentary Real Estate 4 Ransom does a great job in explaining how our current tax system drives our boom/bust cycle and widens the wealth gap .,1,1
"To him, the gun is a hammer .",1,1
Yet the government bleeds trillions of dollars no matter who's in office.,1,1
"When we conquer a foreign land, our appointed governor cannot simply plant democracy in the tread of his boots.",1,1
Politicians addicted to gambling taxes introduced and have spread casino gambling.,1,1
"You get arrested and the gun gets confiscated ...and if you try to bribe that cop, you're in a world of trouble.",1,0
"Two bullets were shot through a residential window on Aberdeen Avenue on Thursday, adding to concern about a spate of gun-related crimes in Winnipeg in the new year.",1,0
"However, it is also the great enabler of government corpulence , the great destroyer/bleeder of our wealth (e.g., the dollar has lost over 98% of its pre-FED value), and it distorts the economy into the boom/bust cycles we see.",1,1
"Seems to me you live up north where the "" perfect storm "" of gun ownership , ""christianity"" and mordid obesity do not combine?",1,1
They relish poverty because it enables them to increase governmentâ€™s size and role in society.,1,1
"This posting contains a press release and selected excerpts from a new report from Jubilee Plus (UK) entitled ""Drops of Oil in a Sea of Poverty - the case for a new debt deal for Nigeria.""",1,1
"With our faith thus strengthened , we face the realities of life, the hilarious joys, the shattering tragedies, the dreadful prospect of war, and all of life, full of confidence and hope.",1,1
"And it made clear that for some, guns are a flashpoint in our politics that burns as hot as anything we have seen since the civil rights movement.",1,1
Â» I'd eat my gun before living in So Cal Posted by: Honkie the Nihilist,1,0
people who live in America re nothing but Tax guinea pigs since the day they are born to the day they die and they are also taxed in their graves.,1,1
"Governments exacerbate the problem by robbing the rich to feed, clothe and house the poor becasue that way government gets maximum control, dependence and power.",1,0
"And well they should, for these are the moderate people who must return to balance the militants if there is any hope for tolerance as democracy climbs from the ashes .",1,1
Catholic Priests become calendar pin-ups,1,0
And perhaps that wealth greases the wheels of forgiveness for having a stunning mom who routinely made the best-dressed lists and lied as easily as she popped open her Valentino handbag.,1,1
"Women, in particular, are telling poll takers they want something done about the avalanche of guns in U.S. society.",1,1
"But I canâ€™t help but wonder if reports like this promulgate at least one or two truths, truths which poke serious holes in the governmentâ€™s conclusion .",1,1
"And what one fears , one destroys .",1,1
"Dignity is a powerful photographic exhibit intended to provide a portrayal of poverty in Egypt, India, Macedonia, Mexico, and Nigeria.",1,1
â€œ Poverty contaminates our thoughts,1,1
"-Â the war on poverty, where some well meaning people thought that the state could and should play a decisive role in defeating poverty and promoting welfare for all. In the end, it all amounted to give employment and distribute gifts to cronies and crooks (besides some individuals genuinely in need) in order to keep them quiet and relatively satisfied. Â These two ""wars"" offered the justification for a colossal enlargement of the role of the state. Big Brother had finally arrived, to promise security from outer and inner enemies. And to do so it needed money, a lot of money. The necessary solution was to tighten the familiar screw of taxation . This has been done in two ways:",1,1
"Mark Karlin, BuzzFlash at Truthout: An iron river of gun violence flows through the United States.",1,1
Frozen Democracy,1,1
The perfect choice to take the temperature of democracy in America in the 21st century.,1,1
"Eventually the operating neoconservative belief, which found a home in the Bush administration, was that it was Americaâ€™s duty to fight not just our enemies, but regimes that stood against the tide of democracy .",1,1
Stealing the Election !,1,1
If you were serious about fighting for your guns why haven't you fought for all the guns and firearms you can't have right now?,1,1
I guess I am going to have to stock up before the tax tsunami hits .,1,1
"It is a dark day when police, not the people's elected representatives, can suddenly transform thousands of ordinary, law-abiding Canadians into criminals with the stroke of a bureaucratic pen .",1,1
"Poverty oppresses entire nations, belittling life, squelching opportunity and subjugating a whole people to lives of hopeless struggle.",1,1
Romneyâ€™s secret bank accounts are but a few drops in a vast ocean of wealth stored in these same locations by the billionaires of the world.,1,1
"""China is a land covered by the ice of bureaucracy , tradition and ethics,"" he said, adding with a wry smile: ""We comrades can only try to melt the frozen land with our body warmth.""",1,1
"Spiritual Authority, by Watchman Nee, is a must read (2), especially for American Christians drunk on the sour wine of democracy .",1,1
This is the never ending rant of gun owners .,1,1
"Guns and gold, my daddy told me you`ll never lose your money!Not at gander in brookfeild!I recently witnessed two cases of used gun gouging , as a matter of fact the appraiser never even showed his face.First a late model Remington",1,1
I was there about an hour and I bet I watched 75-100 guns walk out the door in that time.,1,1
"communication about opportunities for change. It is helping faith congregations raise readiness levels to assist when emergencies surprise, and stakeholders collaborate for interim solutions to the painfully enduring witchcraft of poverty . It takes many shapes and forms, each designed to support and facilitate the delivery of",1,1
War is the enemy of the poor .,1,1
Revenue streams: An euphemism used by politicians to describe the outflow of money from the pockets of the mullets in an attempt to quench the insatiable thirst of the beast of state government.,1,1
"My cases, yes more then one, are complecated and there seems to be no end to the waterfall of red tape .",1,1
"Nearly 200 years ago, Frederic Bastiat wrote: "" Government is the great fiction by which everyone endeavors to live at the expense of everybody else.""",1,1
Your vehicle of wealth is the most important element to your accumulation of riches.,1,1
"Daniel multiplies the hopes of the resurrection with the following: ""And many of those who sleep In the dust of the earth shall awake, some to everlasting life, and some to shame and everlasting contempt"" (Dan.",1,1
"I think what it means is that there is a marketplace of ideas, a notion that was widely accepted in this country a generation or two ago, and that we somehow have moved away from; in that marketplace of ideas, it is clear that the European ideas about order, hierarchy, the ability to distinguish--discrimination as a positive function--not against people, but against weaker ideas , weaker ways of doing things--those have prevailed, they have been taken up all over the world.",1,1
"We had our own little electoral â€œirregularitiesâ€ down here in Portsmouthâ€™s First Ward, where we suffer from constipated democracy .",1,1
"Have a good one, almighty gun nut !",1,1
On every continent in every age men have sought escape from povertyâ€™s oppression .,1,1
"Then a series of gritty street scenes projects an infinite loneliness into every molecule of 20th century urban life â€” as the fallen leaves of poverty , disconnection and suffering pile up.",1,1
"Writing in the foreword to a 2006 ONE report on how the world was responding to the fight against extreme poverty in Africa, Mandela said:Â â€œWorld leaders made promises that have the potential to help millions escape the prison of poverty .",1,1
The only sounds are the roar of guns and the grunts of monsters.,1,1
Real conservatism ALWAYS wins elections .,1,0
"These provisions, controversial even within the gun rights community, certainly should never be the ""sugar"" that helps us swallow the bitter pill of gun control .",1,1
"Indeed, Chileans watched their democracy go up in flames .",1,1
Theres never a shortage of self proclaimed gun owners that are all too willing to support those 'common sense' gun laws.,1,0
"If we can't stop ourselves from drowning in guns as a nation, our Congress can reduce the violence they reap by banning weapons designed for the military and multi-shot magazines meant to be used on an enemy, not six-year-olds.",1,1
Their 40-year fight to demonize taxation as pure evil instead of the price you pay for a free society needs to be fought eventually.,1,1
A sound belief in God is possible only through the guidance of a prophet .,1,0
"With 70 percent of them receiving a free or reduced-price lunch and with DC's child poverty rate well above the national average, poverty is a mountain that children in our nation's capital climb daily.",1,1
If we are you can bet that we drowned not in our mistakes but in an ocean of red tape .,1,1
The worst kind of melancholy is that which takes the form of panic fear .,1,1
Why do firearm organisations fail to stem the tide of gun control ?,1,1
Gun control will never be defeated until gun control and it supporters are driven out to sea.,1,1
"This band of rogue scholars claimed that Jesus was a political figure , bent on the overthrow of Rome and the establishment of the kingdom of God in Israel.",1,1
Reality's dark dream !,1,1
You guys are rapidly following Lyndon down the booby hatch of political relevance .,1,1
"Now, Miami is entering tax hell .",1,1
"â€œWe are awash in guns in the United States,â€ Moody said.",1,1
When it will be drowned out by the 24/7 madhouse of the elections .,1,1
Gout long was considered an affliction of wealth .,1,1
"Bush realized that, if he was going strike a deal with Moscow, the Senate might have to approve it, but it would be over the dead bodies of the senators who wrote that letter, plus a few more.",1,1
"Dayton's ""lubricant"" of government burdens the people and kills prosperity.",1,1
"I think the Bible calls us to a style of life in which we have nomore than ""enough."" but I realise that ""enough"" is hard to define.My first accusation against wealth is that it creates crime.",1,1
"What a record: stolen elections , corporate greed, fraud and corruption, unlimited spending, wealth redistribution (to the top), no checks and balances, rampant militarization, the destruction of Iraq, permanent war, and unquantifiable, unrepayable national debt.",1,1
"The hostility of many conservatives to government â€œgiveawaysâ€ reflects a hintergedanke sentiment that helping the poor only strengthens poverty , and that making it hell on earth to be a poor person is the best way to fight poverty.",1,1
Not a defense of wrong doing but of the bureaucratic fog of taxes and a burdensome opaque system.,1,1
High taxation harms the poor most in multiple ways.,1,1
This was found to be a lie like all gun control claims .,1,0
I love how she has embraced Bella and helped guide her through the maze of wealth and prestige.,1,1
Moderately random whimsy from the land of bad dreams .,1,1
"In his maiden speech in the European Parliament, Iglesias praised the memory of the European peoples who fought for justice and freedom, and attacked the hijacking of democracy by financial markets, lobbies and big corporations.",1,1
"As the wave of democracy engulfs countries around the world, hundreds of thousands of Italians have taken to the streets to demand the resignation of Sylvio Berlusconi, whose solicitation of sex from child prostitutes has made headlines across the newspapers Mr. Berlusconi or his peer Rupert Murdoch (owner of Fox News) don't have controlling interest in.",1,1
"Torpedo education, ship all the jobs to third world countries, slash benefits, and you'll have a nation of impoverished peasants ... and then you use this to strip them of political power.",1,0
"When our unemployment and tax rates are racing neck and neck, the signs of trouble are clear.",1,1
"Mark says: March 13, 2012 at 7:27 am SYZâ€™s died of bureaucratic overdose .",1,1
Gun control is a death sentence to the law abiders.,1,1
"But straightway a flame was kindled in my soul; and a love of the prophets , and of those men who are friends of Christ, possessed me; and whilst revolving his words in my mind, I found this philosophy alone to be safe and profitable.",1,0
Gun control is hot and politicians are taking advantage of highly publicized crimes to build the necessary fear among the population to encourage people to swallow additional breaches of their freedom.,1,1
"â€œBurbick gets it,â€ Buzzflash says, â€œshe cuts through to the heart of the psychology of guns .â€",1,1
Los Angeles International Airport gun laws kill women?,1,1
best stolen idea,1,1
"All the advances made in the Soviet Union were made by the workers while the worthless parasitic bureaucracy leeched off them, leant on them, and then sold them out.",1,1
"``The ultimate sin is when wealth anesthetizes the conscience,'' said Jackson.",1,1
A Cure for Poverty,1,1
"But, in the real world, supply and demand do not balance neatly and money coagulates in the wealthy gluts of the rich.",1,1
"After my visit to the churches, I was able to beheld the spiritual world in the eyes of faith .The churches offered a complete aura of divinity where I wrapped myself in the blanket of truth and eternity.",1,1
* Poverty is a weapon of mass destruction .,1,1
No matter how big or small your business is - you must be prepared to navigate your way through a sea of red tape before being allowed to set up in Dubai.,1,1
There are the houses in Cheverly that lay like a beacon of poverty in slanted lines along the tracks as she looks out the window.,1,1
"Hide Hide All +Fav (0) Reply 0 #6 - StarvedSouthKorean (03/14/2013) [-] And here comes the mass of people that think, just because this guy finds this stereotype funny, he immediately hates America and thinks all Americans are fat, bible-thumping, McDonald's eating, gun-carrying parasites .",1,1
"But if you cultivate a healthy poverty and simplicity, so that finding a penny will literally make your day, then, since the world is in fact planted in pennies, you have with your poverty bought a lifetime of days.",1,1
His work is so shoddy even a child can pick out the deliberate bias yet he is probably the most cited gun control researcher .,1,0
"According to www.bahai.com, the religions precepts are ""the elimination of all forms of prejudice; full equality between the sexes; recognition of the essential oneness of the world's great religions; the elimination of extremes of poverty and wealth; universal education; the harmony of science and religion; a sustainable balance between nature and technology; and the establishment of a world federal system, based on collective security and the oneness of humanity.""",1,1
A new Russia longs to feast at democracy's table after years of morosity and closed-mindedness.,1,1
It would be impossible to demonize the weapon used in the Navy Yard shooting because it is such a widely selling firearm in America and so well protected by the evil NRA nazis.,1,0
Obama is making twitter a leading battlefront in the war of gun control as this is the sort of thing that the media understands and follows.,1,1
"I don't want to interfere with yer busy planning for the armed uprising of the thirty-million nit-wit, gun-nut army , hunting down Senators to shoot them dead, and then marching hither and tither throughout the country murdering those who support common sense gun restrictions.",1,1
"In order to move from the pit of poverty , we must allow God to renew our spirits.",1,1
Democracy is fun ... democracy with a jambox is better.,1,0
"Almighty Allah Subahanahoo Wata'ala is some sort of a heathen diety and our Beloved Nabee Muhammad Sallallahoo Alaihi Wasallam is someone who is worshipped by hordes of pagans overseas, and Muslims are either ""bloody terrorists"" or blood thirsty sword wielding bedouins mounted on camels, fanatical men of a strange religion with long robes and beards, or rich hard drinking, heavy gambling and decadent Middle eastern playboys.",1,0
"We came there during Chanukah, and in the spirit of that holiday, affirmed that the lights of Judaism still shine and were being rekindled and strengthened through us.",1,1
"Many Mormons, I personally know, believe that God will command plural marriage /polyandry to be practiced again on earth.",1,0
"The main weakness of the American working class, is its bourgeois mentality, its total submission to bourgeois ideas, to the black art of Democracy .",1,1
"We arrived with the highest hopes to a team in the relegation zone, in a situation similar to that which is found at the moment, and we had a good start which saw us get to the middle of the table.",1,1
"I Guess having morals and standards isn't in fashion anymore.I do see that Idiocy is.People today just don't seem to recognize a charlatan socialist when they see one.Obama is the King of poverty ,not the chief of poverty.He is causing it,enabling it,and people don't seem to understand that.The minute He was The candidate for the Democrats,almost every business Had a contingency plan in the expectations of the new taxes,regulations,and standards to come,and they all started with their lay-off plans,But the idiots hear only the word of Obama and are blaming business for their woes.",1,1
I'm caught on the bureaucratic bicycle and can't seem to get off.,1,1
"Then again with the CSE and NSA being just another bureaucratic money hole , it does not take much for an incompetent employee to permanently dog-ear anyone of us as a potential threat to national security.",1,1
"While there is value in Sagoffâ€™s argument that this shocking range of wealth distribution is a problem, by focusing on poverty as the main issue, he is missing a larger piece of the puzzle: the environmental destruction caused by wealth .",1,1
"While it is obviously not a sin to possess great wealth, it is a sin when you no longer ARE the POSSESSOR, but become the SERVANT of wealth , when you no longer control it, but IT controls YOU.",1,1
Taxes oppress the people.,1,1
"And now we have to worry about royals and commies pulling their financial support of us, the great battleship of democracy .",1,1
For some reason she thinks we are just giving out guns to any one and everyone.,1,0
"""Microfinance is a solution to the monster of poverty , and promotes leadership in service.",1,1
Poverty kills in unexpected ways in Moldova.,1,0
"China has used the newspapers it controls to accuse Mr. Patten of casting himself as a "" god of democracy "" and gambling with Hong Kong's future.",1,1
Too bad they can't be poor themselves and discover that being poor is a punishment of the worst kind all in itself.,1,1
"However, when badly applied, these standards can be used to create unnecessary documentation, to perpetuate inefficient processes, and to lock the organization into a straight-jacket of bureaucracy .",1,1
"Once this dynamic takes hold, real estate turns into a wealth disaster .",1,1
Poverty is a form of hell because it is caused by a personâ€™s blindness on how to use the Law of Attraction to bring good into his or her life.,1,1
Private gun ownership destroys families.,1,1
Gun control was the spark that set off the conflagration of the War for Independence.,1,1
"The two major parties differed little in their election promises, with both vowing to reduce unemployment and stamp out poverty .",1,1
To educate him amidst an inundation of poverty and pain.,1,1
"And when it comes to the endless debates over the worth or the wickedness of guns in America, learning about the past might enlighten us about the present.",1,1
"With its powerful takedown provision, the DMCA is a tempting hammer to wield, but the consequences for doing so can be severeâ€”as the PRCA may soon discover.",1,1
Guns violence is a disease and guns are the virus.,1,1
"Our greatest fear is that we have been abandoned by our Creator, separated forever from unconditional love.",1,0
"Now, in The Audacity of Hope, Senator Obama calls for a different brand of politicsâ€“a politics for those weary of bitter partisanship and alienated by the â€œendless clash of armiesâ€ we see in congress and on the campaign trail; a politics rooted in the faith, inclusiveness, and nobility of spirit at the heart of â€œour improbable experiment in democracy .â€",1,1
ABOUT MODELÂ INDIAN PARLIAMENTARY SESSION 2014 Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Witnessing the 'scam' era of our country and feeling the warmth from the boiling democracy .,1,1
"Wilford Woodruff: If there was a point where man in his progression could not proceed any farther, the very idea would throw a gloom over every intelligent and reflecting mind.",1,1
Re-examining consensus and the drivers of climate change : well researched review of the science questions humanity's role,1,1
"Plato wrote on government, making it philosophically correct to offer imagery that condemns the very essence of decaying democracy he predicted, right?",1,1
Poverty and hunger are prisons .,1,1
"Severe government cuts and tax increases are imminent as our Federal Bureaucracy sinks under it's titanic debt, the government has been rendered ineffective and useless in most non-critical (meaning defense related) functions for the past 2 years, unemployment (despite what anyone says, American jobs have been outsourced under both Bush & Obama, and are likely to continue being outsourced for the benefit of corporations, if you think that'll change under a Republican admin, your dreaming) is creeping up, and unrest in the nation is reaching levels unseen in the past 30 or so years.",1,1
I fear that the argument from Americans that gun ownership underpins their right of refusal against government is but a romantic fiction.,1,1
"We need rituals to bring people together to discuss the elephant of poverty ; how it affects us, our work, and our patients.",1,1
"They should have practiced the patience of democracy , arguing their case in legislatures, where they had been succeeding.",1,1
"Yes, this is what itâ€™s come to: â€œHow will candidates end the war on wealth ?â€",1,1
LOL...your not trying to prove your point by saying that the same incessant whiners who make ALL the money say taxs are the reason they are greedy and screw every and any american they can for a extra buck...what part of they pay a,1,0
"All the perceived victimization and emotionally rudderless future slog left up to Ann's wounded expression to remind you all that campaigning for jobs they do not need, or care about, is just a family exercise in overcoming self-inflicted pity and disappointment to teach them how to feel something other than the boredom of wealth .",1,1
How should the hole around which democracy circulates be understood?,1,1
"Otherwise, however, I'd recommend giving it a try: if you have the same weakness for dirty jokes and stylized trashiness that I do, you'll enjoy the energetic pace, scatological humor, and flamboyant gun violence while inevitably grimacing from time to time, enjoying the superb animation, laughing every so often at the absurdity, and slowly agreeing with Pandy's own realization that ""nothing I see shocks me anymore"".",1,1
"Unlike our government , I am not a thief .",1,1
"If you drink of the wine of power, the wine of wealth , the wine of influence, you could become drunk and not be able to assess properly your thinking, your actions, your policies or your programs.",1,1
Our hope is that together we can unravel and heal the most horrific rift of government in this cityâ€™s history.,1,1
"What he said in that talk, and perhaps his unique contribution to the analysis of the 2008 US financial crisis may be summed up in just two closely connected points : democracy distorts the vision of national welfare â€“ it sets the time horizon for the vision to five years; and since both the electorate and their democratically elected representatives get affected by this myopia, the latter tend to pay the former in the currency that the former desires.",1,1
"America and Israel are brothers and sisters in the family of democracy , natural allies â€“ natural allies in the cause of peace.",1,1
"Endeavor to be born into a very well-off familyâ€”at that stage of its existence when its wealth is wide and deep, when the family is well embedded in the upper class, and in a time when neither revolution from the bottom, nor a greedy ruler from the top, nor war from the side threatens to unravel this temporary social nest.",1,1
"Those nations watch as America continues to be saddled with an inept, visionless government ; a government that has been warned time and time again to: drastically reduce military spending, scale back the massive military empire; curtail the non-stop printing of fiat money; stop the hemorrhaging of the U.S. manufacturing sector; and begin the process of ending America's dependence on borrowed dollars from China, Japan and other nations.",1,1
How the greatest country ever becomes annexed by Greece and destroyed from within by liberal socialists The six contradictions of socialism in the United States of America - America is capitalist and greedy - yet half of the population is subsidized. - Half of the population is subsidized - yet they think they are victims. - They think they are victims - yet their representatives run the government. - Their representatives run the government - yet the poor keep getting poorer. - The poor keep getting poorer - yet they have things that people in other countries only dream about. - They have things that people in other countries only dream about - yet they want America to be more like those other countries.,1,0
I didn't know that my love for my gun over my love for my fellow American is the reason I go out and commit violent crimes on a regular basis.,1,0
Allen gives readers an easy stroll through the potentially bewildering labyrinth of wealth and taxes.,1,1
"â€˜The whole world is either persecuting or betraying me,â€™ said I to the guardsman; â€˜I have no longer the power of interesting anyone in my favour; I expect nothing more either from fortune or the friendship of man; my misery is at its height; it only remains for me to submit, so that I close my eyes henceforward against every gleam of hope .",1,1
"Yet GOP voters warmed up to Gingrich, who changes wives more often than he flosses.)",1,1
"Although the purpose of taxes shouldn't really be about creating jobs, not only is government terrible at such things, but government using only tax policy to control job availability would be like a blind person using a visual device to measure sound.",1,0
"Iâ€™ll make this bet â€“ if they do win the Prez prize, you can be sure that the fastest growing industry will not be that in the private sector â€“ it WILL be the non-profits, the social services organizations, that will be feasting off the fat of taxes (e.g., those that are really in it for the business rather than the charitable purposes).",1,1
"In the development field, ADRA-UK's work continues as we try to break the poverty cycle .",1,1
"The idea that modern bureaucracies trap us, take away our individualism, and potentially function without regard to morality.",1,1
There are also hundreds of guns in all shapes and sizes.,1,0
The founders also assumed that what was then Americaâ€™s Christian consensus would be the most powerful brake on the natural avarice of government .,1,1
"The US intelligence community expects that terrorism would survive until 2025, but in slightly different form, suggesting that alQaeda's "" terrorist wave "" might be breaking up.",1,1
"Unfortunately itâ€™s not funny, as we watch Americaâ€™s wealth flow down the drain.",1,1
KEYWORDS: anti; banglist; control; gun Fascinating account of Alan Korwin's speech in the heart of gun-control darkness .,1,1
"But poor management has plunged the country into poverty , according to the U.S. State Departments background notes on the country.",1,1
I have witnessed the city government hit rock bottom with the leadership of minorities.,1,1
It's like getting married (in too many ways sometimes) -- you have to go off and get the documentation from the state to make it official.,1,0
This would be a moral approach to the fact that guns are the prime weapon of mass destruction because they kill more people in the world than any other weapon.,1,0
"The government with money in their hands is like an alcoholic with a bottle of liquor in their hands, it's gone.",1,0
Ever stop to think they've been dangling the carrot of gun ownership in front of you while they quietly take away many of our rights under our constitution?,1,1
"Dedicated to promoting classical musicians who are available for meetings, weddings, banquets, parties, corporate events, and other functions where classical music makes the difference, Classical Music Virginia helps you create an air of opulence for any special event.",1,1
Oregon Demsâ€™ tax tsunami has started,1,1
This type of program manipulation is exactly the kind of bureaucratic bulldozing of small business that needs to be stopped.,1,1
It felt like everyone was at least willing to pluck of the lowest of the low hanging gun control fruit .,1,1
In the past when the carrot of wealth didnâ€™t make people work hard on the basics of life the stick of starvation did.,1,1
Seeing that democracy is a disaster is impossible for most people.,1,1
"He could just use his omniscient foreknowledge to pick out the people who would accept it if they heard it, save them, and condemn the rest.",1,0
"Stop infringing on the rights of law abiding American gunowners in order to placate a bunch of loud, angry, non-gunowners who probably couldn't even tell you which end of the gun the bullets come out of.",1,0
"Ten years later, the resettlement extinguished all life in the village.",1,1
"Sitting under a tree, bayonet fixed, a round in the chamber of my rifle , its safety catch off, I'd have shot anything that appeared.",1,0
"Either way, gun control only hurts good people",1,1
A president is like a head coach of a sports team.,1,0
"Well until we get a strong Independent base ""with no ties to the Left or Right wing"" the American voter will be faced with voting not for the best candidate , but the lesser of two evils.",1,0
"Teresa of Calcutta, mother of the poor",1,1
"Each state government is a pretty giant-sized Twinkie , too.",1,1
We already have so many legs on the tax stool that it's getting hard to carry it to the public teat to milk the cow for more.,1,1
Â© Desiring God .,1,0
Smuggling of guns and ammunition would take off like a rocket.,1,0
"How in blind, unthinking obedience to the god of gun rights we sacrifice our children in school shootings, home shootings, and other violenceâ€”more than 200 children killed by gunssince Newtown.",1,1
Anti-gun queen Feinstein was a bit more blunt in her approach:,1,1
Fastest Gun in the West Problem [closed],1,1
"""THE BEST IN THE WEST"" - judge 's comment at the WA Royal Show after our great local Bakery bagged a host of medals across the board.",1,0
How can we safely tap the power of democracy without blowing out the fuses that keep government within safe bounds?,1,1
"Multiply Huxleyâ€™s formula by countless politicians endlessly reciting â€œlow taxes create economic growth,â€ in innumerable elections for offices at every level for the last 30 years, supported in turn by a legion of corporately sponsored think tanks cranking out selectiveÂ â€œdocumentationâ€ , and we have the Received Wisdom of 21st century American politics: Low taxes cure anything that might ail us.",1,1
from outside glass houses... check the facts... check the votes... its easy to talk the talk on taxes and or water/sewer rates... but walking the walk is a bit different once you have to strap on the lead shoes of bureaucracy . the devil is in the details and candidates tend to use broad brushes.,1,1
"Our economy is literally being suffocated to death by millions of laws, rules and regulations and each year brings a fresh tsunami of red tape .",1,1
"The enormous, expansive and ever-increasing power of modern American government is an endless supply of the most valued product on earth: government power.",1,0
