Sentence,Hyperbole,Metaphor
"Socrates died when Golden Age Athens - an ambitious, radical, visionary city-state - had triumphed as a leader of the world, and then over-reached herself and begun to crumble.",1,1
He burst into our meeting and got sent away with a flea in his ear.,1,1
"Wang lean close to is in marital bosom, unfeignedly says "" say those who do to the woman is water, this word but true truly, be the 2nd spring that water gave me life.""",1,1
Beauty is but a blossom.,1,1
Now in these two books we've seen Milton dig up and discard just about the entire tradition of epic poetry.,1,1
"It is a kindness to them to say that they misled you, Holly, you were their plaything.",1,1
"All her dreams, in an instant, had vaporised into nothing - for she knew she would never accept his proposition.",1,1
"You are cursed with a curse , for you are robbing Me, the whole nation of you!",1,0
"Compared to his adulthood of sadism, cruelty and murder, his childhood of abuse and rejection looks benign.",1,0
"With wet clothes clinging to her back, she looked skeletal, her shoulder blades poking up like sharp crags.",1,0
That political statesman is full of ambition.,1,0
We've got to get the economy under control or it will literally eat us up.,1,1
Peter let the bottle ruin his life.,1,0
He threw the brightness of his nature over every abyss and cavern through which he strayed.,1,1
Life always waits for some crisis to occur before revealing itself at its most brilliant,1,0
He made a clean breast of the whole secret.,1,1
They hallow the buffalo.,1,0
The traditional Easter turkey boom - the second biggest after Christmas - was a damp squib because hard-up families bought cheaper chickens.,1,1
To dress up humour would be the ultimate in gilding the lily.,1,1
"The kindhearted, craggy Alfredo is the projectionist, the spinner of myth and the giver of a hard-won wisdom, full of Italian fatalism, winks and rough fatherly love.",1,1
The spirit of Fifa and soccer expend infinitely on a small ball.,1,0
"God gracious bless me, how my poor head is vexed and worried by that girl Gupe's so perseveringly asking, over and over again , about her tiresome letters!",1,0
"So long as, with reasonable success, I can impersonate ""Joyce Carol Oates, "" it is not the case that I am dead and done for-yet.",1,0
The kind of lonely that makes you latch on to anyone who shows the slightest kindness.,1,1
All the build up of delight shrivelled and stripped Jay to lonely self-scourging.,1,0
"He imagined her , in the majesty of her candour , above all the arts that torture.",1,1
Phantom: You puny pathetic thing! I'll step on you like an ant!,1,0
I've never been so glad to see anyone in my life!,1,0
But Masterson is also convincing as a woman susceptible to the lure of taking time to smell the flowers.,1,0
I was debarrassed of interruption; my half - effaced thought instantly revived.,1,0
This principle has been woven into the warp and woof of his life.,1,1
It a disease which threatens to eradicate them all.,1,0
The thought of accepting horizontal career development for the next twenty or thirty years is a numbing thought.,1,1
Every leaf was picked out in golden radiance.,1,1
Even if they can't inflict any wounds they can still swamp him with weight of numbers.,1,1
"Then , what submission , what cringing and fawning , what servility, what abject humiliation!",1,0
The sun set in a pyrotechnic display that burnt up the whole western sky.,1,1
Mother was so angry that her face was drained of blood when she knew his son had committed the crime.,1,1
Had he known Boldwood's moods her blame would have been stain upon her heart ineradicable.,1,1
"Most brilliantly victorious day, when every house was a fortress, every window a breastwork .",1,1
A man whose name is so synonymous with a suntan that it is a running joke in Doonesbury?,1,0
Although the hereditary title system completely withdraws from the historical arena and is transforms the feudatory to eat the feud.,1,0
"In network platform, we derive a soul food, even if the surge came flooding back of this great creation.",1,1
The power of one hundred proud men cannot influence the world as much as of one humble servant of God,1,0
The upshot is that we're horrifyingly nonchalant at the prospect that rising carbon emissions may devastate our favorite planet.,1,0
"Frenchmen, O my countrymen, Let not your enemies, with their desolating doctrines, degrade your souls, and enervate your virtues!",1,1
He's a perfect philistine.,1,0
He was the calmest guy I ever knew - nothing ever riled him.,1,0
"We will add this in general, touching the affection of envy; that of all other affections, it is the most importune and continual.",1,0
"Three, please put up the vogue magazine several in the Chu cabinet, good let me be unlikely in wait for the sparerib soup burn goodly before of endlessly time space falsely.",1,0
"You can, of course, make up anything frisky that's going to get your juices flowing.",1,1
I thought I could bestow beauty like a benediction and that your half-dark flesh would answer to the prayer.,1,0
"No act of kindness, no matter how small, is ever wasted",1,0
Not even a bravura turn by one of the most charismatic actors of his generation can relieve the torpor.,1,0
"There are lots of them out there and, apparently, they breed like Kennedys.",1,0
I don't think the new England manager wants to be portrayed as a garlic clove before his first international in charge.,1,1
An unspoken reason for her attempted escape had also been the growing certainty that this attraction was coming to a head.,1,0
Outside the stadium before kick-off stood that ubiquitous sparse clutter of genuine supporters who always believe that they can get in anywhere.,1,0
The wart crept out between his parted lips.,1,0
There is nothing more truly artistic than to love people,1,0
State politics ends up as a perennial battle between squabbling regions for scarce resources.,1,1
Begun the hatred that swelled the tiny spark of life that had escaped from the meteorite and become the Worm?,1,1
"Normally, Mickeen would detain you as long as he could, jabbering away about this, that and the other.",1,1
"From a variety of angles, the movie makes its point about beautiful girls, without ever hitting us over the head.",1,1
I have been unable to find anyone who wishes to praise the private Bill procedure; it is an anachronism.,1,1
The remark struck home.,1,0
"Happiness keeps growing endlessly,but it's too far to reach.",1,1
Yet it was that touring and the inspired mania of their shows that pricked up the ears at Arista Records.,1,1
Her skull was crammed with too many thoughts.,1,1
I earned damn all last week.,1,0
He was a bureaucrat to the core.,1,0
The sheer audacity of the man took my breath away.,1,1
Languorous chords seem to defy gravity as ambient synthesizer textures frame the music with golden glow.,1,1
They kissed each other with unashamed delight.,1,0
"The Scoop: Almost 30 years after the first fantasy film, Perseus, mortal son of Greek god Zeus, is back to take on Medusa and the Kraken to stop their evil from spreading to earth and the heavens.",1,0
It's hot enough to melt hell!,1,1
"Beauty is nature's brag, and must be shown in courts, at feasts, and high solemnities, where most may wonder at the workmanship",1,1
She's as pretty as a picture.,1,0
In the space of a few moments one crossed a cultural divide now generations deep.,1,0
They are creatures who - in their grudge against the traditional 'opium for the people' - cannot bear the music of the spheres.,1,0
"Shifting winds blew clouds of spray over the rocks, trees, and shrubs until they seemed to be sheathed in alabaster.",1,0
Mechanostriders: Summoning any of these mounts is now perfectly mechanical - sounding!,1,0
Time is a bird for ever on the wing,1,1
People who are unkind or uncaring can be described as meaner than junk yard junkyard dog.,1,1
"Together, they showcase his combustible bop chops and sublime ballad skills, as well as his meteoric rise to prominence.",1,1
She felt fenced in by domestic routine.,1,1
They are quaking in their boots at the prospect of tomorrow's game.,1,0
The crone lifts her wrinkled finger and drops it ominously on the Death card.,1,0
Sue always manages to upset somebody when we go out - she's a real liability.,1,1
He's a poor liar; anyone can see through him.,1,1
"Behind him a huge mural of Monument Valley, John Ford's favourite location, glows red as hell.",1,0
His critics even smile in anticipation of a rhetorical question meeting with a devastating reply.,1,1
She's always whingeing about how unfair everything is.,1,0
The battle/election was a complete and utter rout.,1,1
The sign on the wall seemed to quaver under a film of sliding warm water.,1,1
The paddy field becomes the sea of love and joy.,1,1
What malevolence you must have to wish to convince me that there is no happiness in the world!,1,0
"Well, Holmes, he looks just like the popular caricature of a mad scientist.",1,0
I give you this ring as a pledge of my everlasting love for you.,1,0
A whole week in Paris at Easter seemed to her something for which she would willingly have sold her soul.,1,1
"Every meal was a marathon, with never ending platters of braised eggplant, sweet-and-sour fish, lightly oiled greens, and a hundred combinations of beef and chicken with peppers and peanuts.",1,1
"Your mother's anniversary set him off, and he went on a murder spree, killing everyone.",1,1
Nomatterhow he had changed - if indeed he had changed - that man had once been a sadistic brute.,1,1
Thank you for letting a chubby - cheeked two - year - old run wild among your most precious possessions.,1,0
Latin is a dead language.,1,1
I gave the money to a thankfully dumb-struck fiddle-player on Sauchiehall Street and walked away feeling like some sort of martyred saint.,1,1
She's an incorrigible flirt!,1,0
The question is: can we do any better - without falling into the trap of feigning omniscience?,1,1
A two - dimensional creature would have only length and width an impossibly flat playing card.,1,0
This man symbolizes everything wrong with Britain - a deeply untalented buffoon a thoroughly sinister interior.,1,1
That sharp bend is a death-trap for motorists.,1,1
Cypress is another woodsy smell that will remind you to ground unto the Earth Mother for comfort and peace as well as attune to the pine tree kingdom.,1,1
"Inadvertently, as a shell of treasure lost on the gold tourism belt of Three Gorges, Yichang downtown became a skip zone of a luxury cruise from Chongqing to Shanghai and other high-end customers.",1,1
She was born with a silver spoon in her mouth and everything has been done for her.,1,1
"They paused a while to let a fleet of barges, packed with city dignitaries, sweep by as stately as swans.",1,0
They lived in hourly dread of discovery.,1,1
It was unbelievably dramatic as lightning crackled all round the van.,1,0
"The blue baby can turnover Jianghai, magnanimous, is overwhelmed with emotion drunk by the monster mirror floats but actually in the poisonous water jar.",1,1
No departing presidential couple in history have ever left the official residence so bowed down with booty.,1,0
How dare they believe that they could stand before the flower of Bretonnian chivalry!,1,0
He seems to think he's God's gift to women.,1,1
You won't want for a friend as long as I draw breath.,1,0
The Bozart Kaleidoscope Dollhouse designed by PMW Architects in 2001 was perhaps the coolest doll house ever.,1,0
It also is jeopardizing the transformation of this ramshackle beach hangout into a sparkling upscale resort.,1,0
"Story takes place in a remote town in the United States, where people madding crowd and live a quiet life, but the catastrophe has come in overnight, to their head.",1,1
Knocked 1968 into a cocked hat.,1,1
Rachel daintily arched one eyebrow as if I had mentioned inviting her servants to some feast or revelry.,1,0
His was a lifetime spent on the borderline between chutzpah and hubris.,1,1
He was totally without imagination.,1,1
"Langford received the gaze of his wide-set, sightless brown eyes, from which all glint of humor was gone.",1,1
"The ""Field of Chiefs"" and its Standing Stone, where the clans can come to speak of peaceful alliances, fearless of treachery, is a living piece of history.",1,1
What reserves of strength and intellect she must have to remember details like that!,1,0
"As if the Italian has been bewitched, the flesh and blood became a glasswork , and the glass body was filled with the jacinth XO whiskey.",1,1
They looked at me as if I had taken leave of my senses.,1,0
She had perky tits and the best ass.,1,0
Nothing was divine any more; everything was profane.,1,0
"One of these, the parlor, gay with an ingrain carpet and dolorous with a funeral card and a death-picture of one of her numerous departed babes, was kept strictly for company.",1,0
Anyone who thinks there's an easy solution to the problem is living in a fool's paradise.,1,1
Everywhere you turn these days some one is trying to cheat us out of something.,1,1
I tried to drag myself out of the morass of despair.,1,1
It came and went in swirling waves that rushed down from the ceiling and swallowed her up.,1,1
All that trading and subterfuge is exhausting.,1,0
"Initially rejected as uncommercial, ""What's Going On"" (with background vocals by two players from the Detroit Lions) was Gaye's finest studio achievement, a timeless gift of healing.",1,1
He's so angry he's in no fit state to see anyone.,1,1
As though the very lamps in the gleaming candelabra were powered by the electricity that seemed to radiate from his skin.,1,0
"His skin was so unwholesomely deficient in the natural tinge, that he looked as though, if he were cut, he would bleed white.",1,0
I couldn't repress a sigh of admiration.,1,0
The beauty of the scenery bedazed all of us.,1,1
"Rememberedand distorted, turning it into a place of monsters and murder, of terror instead of sanctity.",1,0
His remark was meant as a shot at me.,1,0
None of the turmoil that routinely attends film-star existence ever seemed to visit the Astaire household.,1,1
What do you wish for on the first celebration of the day you lost everything?,1,0
His passion has only just stopped short of writing a structural critique of the civil engineering faults at Valhalla.,1,0
I was too bound up with the problems of the present moment to enjoy the luxury of retrospection.,1,1
He would stoop to any device to win a point.,1,1
At the testimonial dinner everyone flattered him shamelessly.,1,1
Each creak of the house made my heart stand still.,1,1
"After watching one atrocity after another, Corrie told Betsy, ""This place is the pit of hell!"" Betsy replied, ""There is no pit so deep that God's love is not deeper.""",1,1
"What she would give to punch him on the nose, and flatten once and for all his insulting, devilish assumptions.",1,1
Even the presidency was handed to him on a plate.,1,1
Mr Brown might have been expected to roll each pledge around his mouth like a connoisseur sipping a fine wine.,1,0
I sometimes feel I'm going round the bend looking after young children all day.,1,1
"With over 120 inches of rainfall per year, Hilo is not only the wettest city in America, but a virtual greenhouse.",1,1
"Soon he was within arm's length of the girl, but the way was blocked by an enormous prole and an almost equally enormous woman, presumably his wife, who seemed to form an impenetrable wall of flesh.",1,1
His green eyes were taking on a bluish tinge and hers were going green with so much exchanging of deep looks.,1,1
It was sheer hell having to sit through hours of boring lectures!,1,1
His face burned with shame.,1,1
I must have had a brainstorm I couldn't remember my own telephone number for a moment.,1,1
"Or were all those insufferable lectures about ""personal responsibility"" when the bankruptcy bill was going through just so much claptrap?",1,1
Bells bloom on her upturned finger tips.,1,1
Come roll in all the riches all around you.,1,1
"So, after three days of incessant byandy - drinking, he had burned out the youth from his blood.",1,1
Ne'er the night passes without my dreaming of you.,1,0
My torso and my wrists felt as though Edna had beaten them with sticks.,1,0
"The ""first-time smartphone buyer"" is a bit of a mythical creature, like a perfect gas in physics, or a unicorn or jackalope.",1,1
"I blush , I burn , I shudder, while I pen the damnable atrocity.",1,1
A greater penance than even Zeus himself had placed on the Titans.,1,0
"Life, however dark and somber, could never apparently cloud his soul.",1,1
The industrious bee always has no horary woe.,1,0
"Offered both in today's subdued colors and a vivid, 80s-inspired palate, the Bugaboo 86 Parka is the perfect balance of then and now.",1,1
Never was anything at once so frail and so indomitable.,1,0
That incarnate no matter how callous profession are full of love.,1,0
Sport became the perfect outlet for his aggression.,1,1
General Custer: Have you ever seen so many fucking Indians?!?,1,0
The rain sliced my neck like a miniature guillotine.,1,1
The place was a powder keg.,1,1
The worst way to miss someone is to be sitting right beside them knowing you can't have them.,1,0
A truth that's told with bad intent beats all the lies you can invent,1,1
Morel and Annie almost contested with Miriam who should listen best and win his favor.,1,0
Every one should strike for his honour.,1,1
Marina Derryberry feared that his lessons might be glorified baby-sitting.,1,1
Stein would have been a perfect object for the obligatory transgressive fantasy of friendship with an exceptional Chosen Person.,1,1
It loomed over him chuckling with preternatural malice.,1,0
I'm afraid; he's at the last gasp.,1,0
It'll help squish out all that water I've been retaining.,1,0
No serious musicologist will be spotted in an audience minus a neck brace.,1,0
"Here only one sound was audible, a sound as heart-rending as the death rattle, as menacing as a malediction, the tocsin of Saint-Merry.",1,0
You think all existence lapses in as quiet a flow as that in which your youth has hitherto sild away.,1,0
Love: the word would be utterly meaningless in this context; no more than a little blast of sound.,1,0
"Then, as if he had tormented himself beyond endurance, Luke ripped it clear, down past her waist and beyond.",1,0
Real estate speculators are the property market bubble lovers or sinner?,1,1
The chronically sick sought him out endlessly for healing from their never-ending weakness.,1,0
She's just returned from an all-expenses-paid trip to France.,1,0
"The demon that possessed Linda Blair in ""The Exorcist"" is probably pop culture's most famous and most talented, with levitation capability, rotating head and amazing, life-like spewing action!",1,0
His foolish act has brought a storm about his ears.,1,1
Even those leafless beech trees would outlast him.,1,0
The answer had come to him in a flash.,1,1
Eyes glitter with a memory of the chill snowfields that once claimed her.,1,1
Her summer collection took the fashion world by storm.,1,1
And she was off into her bedlam of mythology once more.,1,1
"Madge, therefore , uninterrupted, went on with the wild disjointed chat which her rambling imagination suggested.",1,1
But it takes a mighty age to tell its tale and dives head-first into the soap suds along the way.,1,1
The man who was now pumping my hand with just a little too much fervour was completely bald.,1,0
Slight dalliance with her makes the very diminutive seem as big as life.,1,0
"Marilyn's pitted skin, breasts of carved pumice, volcanic thighs, a face of ash.",1,1
China's economy is like a great river in flood: it has an unstoppable momentum.,1,0
I was a bigger rogue then than I am now but Benjamin was as different as chalk from cheese.,1,0
Imagine there are homes for all Who truly do belong Imagine that we're proud to sing A patriotic song.,1,0
The crew of the Dutchman was covered in barnacles and scales - more monster than human.,1,1
"Followed, unspeakable pain, like the myriad insect bite my heart, bitter sweat straight mouth Chung.",1,0
A vicious price war between manufacturers has cut margins to the bone.,1,1
Art and history fuse in inextricable magic.,1,1
He had the most disgusting rotten teeth and horn rim glasses with milk bottle lenses.,1,0
God's grace is immeasurable; His mercy inexhaustible; His peace inexpressible.,1,1
He's so lazy it's unbelievable.,1,0
All Utopias that have hitherto been constructed are intolerably dull.,1,1
The keen blustery morning summoned up exactly the braced mood she sought to capture.,1,1
The ubiquitous man with the pained expression vanishes.,1,1
Trying to get that class to learn anything is like banging your head against a brick wall!,1,0
All that was left of his genial friend lay cold before him on the trestles.,1,0
"John Osborne's kitchen sink classic, 'Look Back in Anger', which we think of as epitomising post-war austerity, is really about the emergence from that era into a more affluent, complex world.",1,0
"My sentiment, my ideal, my freedom, my choice, my degeneration, my all are unable to withstand that frailly , only then compromise and deconstruction.",1,1
If I met Pam's bloke coming down Briggate I'd give him a wide berth.,1,0
His photo is a wonderful happy moment caught with perfect timing.,1,0
"And the dramatic ascent, though interrupted by savage relapses, is both exciting and moving.",1,1
The heavens have opened and the precious elixir of Life is pouring forth upon all Creation.,1,1
"She had her toad face on, unblinking eyes, sagging flesh beneath her chin stretched as she held her head forward.",1,0
The media has made unfeeling voyeurs of all of us.,1,1
All I want to hear is the sound of the wind rushing through this funky old tub.,1,0
The chill air cooled her face and seemed to sweep her problems into the distance.,1,1
Three times he watched his first mate get blown to bits.,1,1
Every word of the Toran braided crowns for the Godhead.,1,1
Once again the tenuous thought that she'd previously failed to grasp hovered like a wraith on the verge of her consciousness.,1,0
Seems like nothing ever brings you back to reality that makes you want to stay there,1,1
This is the ultimate sustainable city in terms of jokes and governmental circus acts.,1,1
This is a time of tension when the stakes may be high and a future plan hangs by a thread.,1,1
"And should you drop it into a tubful of cloudy, child-colored water, not to worry - it floats.",1,0
Again and again he paints the crowd's attempts at leisure as feeble reproductions of the discipline of the factory.,1,1
And I was among a great chorus out on the hustings speaking out against this consistent and constant deficit spending.,1,1
There was a manic air to the way he ate his steak and kidney pie.,1,1
She'd do anything to save her own hide.,1,1
She has taken to teaching like a duck to water.,1,0
Chuck's acting like a complete dick.,1,0
In the middle of an unprecedented and unnerving global experiment is the short answer.,1,0
"Now this, to outsiders, is an unbelievable world, totally severed from the outside world, utterly divorced from reality.",1,0
Tawno's so good at making love it's no wonder women fall for him like a ton of bricks.,1,0
My grandmother always babbles about trifles.,1,0
He'd purposely picked a high-necked one so she couldn't go flaunting her breasts at every man she passed.,1,0
What the bloody hell do you think you're doing?,1,0
"An aspiration is a joy for ever, a possession as solid as a landed estate, a fortune which we can never exhaust and which gives us year by year a revenue of pleasurable activity.",1,0
"What gave her the greatest satisfaction was the water, now bloodstained by the final, flamboyant exhibition of the setting sun.",1,1
Make a call to one of the millions of other great women who understand the rigors or motherhood.,1,0
"Desolately sit over there, Air Jordan Retro 5, an on each occasion, like a sculpture of carve carvings.",1,0
